49
87197 365
58412 18178 -
80228 -73207 -
69287 -43030 +
83 46005 +
78259 -75574 -
14849 44388 +
40214 24274 -
40673 46846 +
34423 -9753 +
24190 -16227 +
85671 86476 -
84524 -72670 +
37468 -72041 -
29563 12594 -
7964 70700 -
45975 -61824 +
29266 -76596 +
65496 -55505 +
82273 80513 -
7273 -70306 -
20875 33163 +
58590 40945 -
61725 30479 +
11973 -62305 +
23601 15557 +
84086 22521 +
44622 -79435 +
75657 -60049 +
73400 50455 +
26552 -53537 +
77420 -35896 +
22128 -34016 -
4112 85086 +
32790 2305 +
42572 70553 -
39850 17281 +
7715 -4928 +
55103 92181 -
55615 -23282 +
28081 33817 +
54914 21827 -
43353 -14933 +
17900 -22004 -
51106 49943 -
32467 56589 -
4058 29445 -
8622 87605 -
77765 -83807 -
80280 -10595 -
282 -50965 +
3976 13491 -
31812 10504 +
10117 -2668 -
15199 9532 -
72027 -32930 +
9534 -96019 +
50940 -13817 +
71856 73002 -
760 -49147 -
61766 38917 -
27085 89190 +
43613 91692 -
86548 36638 -
8652 -12706 +
73217 -9905 -
10349 -197 -
40027 94539 -
50050 -59161 +
4218 97892 +
35032 45792 -
48486 -65443 +
59515 -41761 -
73583 15626 +
5842 11816 +
39966 -58 +
59298 -90379 +
25043 41554 +
44262 -18109 -
74696 19219 -
23243 -28074 -
27998 18813 -
29229 3934 -
84583 -12055 -
13700 85181 -
51993 -68627 -
42773 -53604 -
41701 -99718 -
41781 90510 +
18833 -70634 +
54085 -12266 -
34926 39581 -
49662 41775 -
74307 -22081 -
10522 -23886 -
6896 4905 -
4243 -32166 -
81903 -28166 -
80646 17032 +
25535 -34862 +
25918 9564 +
64351 -10824 +
55081 -4786 +
26334 -36411 -
21118 -93763 +
65501 88673 +
60477 50616 +
50647 37892 +
14742 -23611 +
24002 -41933 +
2279 -84468 +
45084 -55120 +
63096 -33896 -
12978 -22235 +
41185 58634 -
80848 -11830 -
53148 -28957 +
41485 4258 -
23456 -99311 -
15094 -93194 -
80697 89325 -
82007 -95193 +
60778 48473 +
7096 18489 +
15317 -10077 -
57130 -13697 -
4805 -83805 -
11475 -54104 +
77544 7678 +
66924 28185 -
29633 -4876 -
26773 23731 -
49786 14547 -
15663 -24551 +
8098 -69197 -
18190 -36946 +
79241 -46217 +
10215 57954 +
37415 -74648 +
19586 -53466 -
24609 -72105 -
70679 39015 -
45975 -94790 -
38721 98878 -
11331 -16882 +
12003 59385 +
6752 86987 -
74875 -9316 -
33665 39576 +
54983 87307 +
56975 65885 -
48221 -86590 +
43269 7988 -
71590 -96473 -
26626 -74146 +
24222 -86350 +
8036 -79033 -
65203 29805 -
52865 16090 -
67220 30606 -
389 61274 -
85528 -46339 +
3281 19716 -
56325 -21336 +
7967 72568 -
66495 54467 +
1902 -40268 -
26320 -35919 +
5630 2200 -
74654 -86269 +
38358 -79310 +
75034 99638 -
13738 -3955 +
75328 98156 +
72131 30283 +
78643 -79318 -
1449 50054 +
82168 -17353 +
59998 -52372 -
56900 14982 -
34722 24295 -
43400 -21871 -
39361 -99472 +
1558 63337 +
7577 9261 -
29765 51149 +
63760 -79934 +
71738 -69300 +
53432 -78085 +
13065 98492 -
18835 -36819 +
17136 33375 +
47654 -63661 -
72458 -98032 +
64529 -3344 +
7520 -48415 +
21463 88741 +
66844 -99911 +
53248 27552 -
22369 31830 +
70312 -83676 -
76939 87522 +
22199 -14995 -
72793 37525 +
67763 -53600 -
45384 -92647 +
53846 52545 -
18728 -9327 +
7840 32613 +
29362 -59615 -
69994 85251 +
57625 -54440 +
67489 10288 +
35305 -9631 +
22910 -5979 -
15095 -84224 -
19526 -46973 +
17573 67345 +
22529 55745 +
76171 -25216 -
76174 -95866 -
17786 -25831 +
83656 57667 +
14502 -67652 -
22594 92124 +
16767 -7115 -
6674 -98892 +
11173 63335 -
44267 41133 +
86229 73116 +
37645 -28380 -
42871 -44303 -
21021 60954 +
32104 30785 +
8432 -62527 -
8403 32727 -
71415 283 +
54880 61081 +
74277 28863 -
30298 221 -
19919 98834 +
76609 86196 -
11828 -21675 -
55540 96440 +
20974 -92078 -
19707 24276 +
41079 -41215 -
61921 80413 -
85159 71733 -
26055 -65157 +
82976 39988 -
9467 -24787 +
52477 -49638 -
29079 68670 +
37582 79897 -
62658 -2824 -
12782 -87146 -
27318 -20852 -
85612 80101 -
17573 20316 +
69609 -13702 +
45955 17235 +
15211 -28388 +
35057 -8304 +
3842 -2292 +
30066 97678 -
35472 52129 +
18585 -1273 +
28664 -40514 +
43006 56955 -
21864 -97299 +
16670 -16242 -
51837 -5625 -
48074 -29314 -
24944 46444 +
73539 -17813 +
21180 39516 -
28865 -68717 +
9066 75546 +
39516 58637 -
43494 -48119 +
32138 -78097 -
482 89803 +
74529 74195 +
85073 76735 +
16170 83599 -
15504 -9462 -
37241 46357 -
10916 20518 -
8589 66291 +
18785 87563 -
41578 -63119 +
72190 43431 +
43360 95837 +
84288 42164 +
79481 -523 -
15091 -14102 -
28868 93553 -
45629 58426 -
1464 -61622 -
58479 -74861 -
56940 -87392 -
29927 66618 +
25311 93565 -
16357 10458 -
30560 -44292 -
37133 -45686 -
27368 -8230 +
58669 67402 -
33713 -21887 -
35965 3162 -
28245 32196 -
6562 66163 -
10286 -57428 -
45177 -15639 +
46201 95388 -
69324 -16857 -
19910 -81081 +
24770 -38400 -
42725 89118 -
35694 73573 +
38946 26105 +
36046 66421 +
73378 -89185 +
79976 15832 -
62705 21363 +
33036 37151 -
19329 69679 +
82762 68245 -
41024 63397 -
48367 3181 -
82802 -78699 +
52898 49524 +
37498 14967 +
22474 20311 -
74671 -25162 +
58607 23962 +
35335 7625 +
11590 10123 +
70708 -34534 +
70350 92320 -
80298 96637 -
23986 -45721 +
51356 -49917 -
18667 -20900 -
38970 17645 +
11663 -63249 -
62503 64102 +
13400 -37471 +
40629 41500 -
67381 98034 +
57191 -14181 +
31359 -77887 +
74163 -3703 -
19963 44083 -
57146 -38689 -
76303 -18409 -
12201 -59076 +
79536 31362 +
6699 -468 +
7061 -6876 -
36103 -96214 -
45984 -23847 +
64742 8226 -
8472 15960 +
17859 -63031 -
91736 639
78074 -20170 +
41423 -47002 -
59875 -96434 +
59433 86835 -
51200 -64237 +
60781 -1496 -
72364 40574 -
6930 -22935 +
13197 27900 +
53733 -95197 -
12006 11526 -
72990 13769 +
87308 29251 -
67781 -23042 +
83457 -41917 +
59650 76148 +
35254 47437 +
52082 16219 -
25261 -62109 -
57664 -60590 -
8709 67646 +
38628 83102 -
54320 2627 +
85496 -73992 +
68056 80868 +
88042 50931 -
30606 -53947 -
11596 -91287 +
85426 -97612 +
78668 302 -
62795 -26505 -
87996 -28961 +
35439 -26673 -
64550 -63217 +
79013 19478 -
15803 49749 +
47476 -21836 +
41656 -60200 -
27979 29030 -
59335 -80333 -
44622 -96353 +
89911 -36843 -
43278 38198 -
5069 -32444 -
21242 -91261 -
32209 10874 +
8143 -54440 +
19613 -37838 +
14590 -15237 +
7920 87515 -
66218 20251 +
71647 -12107 +
28450 -31014 -
53831 -74422 -
73510 77537 +
54013 -165 -
18420 -72753 +
62985 -97786 +
38119 8738 +
47433 -13890 -
82080 -86316 -
66191 67554 -
22690 16342 +
34081 71831 +
34166 33239 -
75454 49213 +
51972 31235 +
67769 27119 +
45859 96012 +
46740 6303 +
41294 13781 -
85149 -68943 -
61109 74698 +
27322 5278 +
29513 66458 -
40165 -81951 +
17284 89360 -
39284 75033 -
70038 53287 +
52475 -27549 +
68397 -46023 -
80149 67256 -
19668 56696 +
7840 -35102 +
11530 26511 -
22215 -19391 +
